# Honours record of Club Atlético River Plate

| Competition | Title/Finish | Season/Year |
| --- | --- | --- |
| Argentine Primera División | Champions | 1932 |
| Argentine Primera División | Champions | 1941 |
| Argentine Primera División | Champions | 1952 |
| Argentine Primera División | Champions | 1955 |
| Argentine Primera División | Champions | 1975 (Metropolitano) |
| Argentine Primera División | Champions | 1975 (Nacional) |
| Argentine Primera División | Champions | 1979 (Metropolitano) |
| Argentine Primera División | Champions | 1986 (1985–86) |
| Copa Argentina | Winners | 2015–16 |
| Supercopa Argentina | Winners | 2017 |
| Copa Libertadores | Winners | 1986 |
| Copa Libertadores | Winners | 1996 |
| Copa Libertadores | Winners | 2015 |
| Copa Libertadores | Winners | 2018 |
| Intercontinental Cup | Winners | 1986 |
| Copa Sudamericana | Winners | 2014 |
| Recopa Sudamericana | Winners | 2015 |
| Recopa Sudamericana | Winners | 2016 |
| Recopa Sudamericana | Winners | 2019 |
