# Surface Pro Generation Timeline and Key Feature Milestones

| Surface Pro generation | Announcement date | Shipping date | Notable change | OS at launch |
|---|---|---|---|---|
| Surface Pro (1st gen) | 2013-01 | 2013-02 | First Surface Pro release | Windows 8 Pro |
| Surface Pro 2 | 2013-09 | 2013-10 | Improved battery life | Windows 8.1 Pro |
| Surface Pro 3 | 2014-05 | 2014-06 | Larger 12-inch design | Windows 8.1 Pro |
| Surface Pro 4 | 2015-10 | 2015-10 | New 12.3-inch display | Windows 10 Pro |
| Surface Pro (5th Gen) | 2017-05 | 2017-06 | Refinement, fanless options | Windows 10 Pro |
| Surface Pro 6 | 2018-10 | 2018-10 | Quad-core CPUs | Windows 10 Pro |
| Surface Pro 7 | 2019-10 | 2019-10 | USB-C added | Windows 10 Home/Pro |
| Surface Pro 8 | 2021-09 | 2021-10 | 13-inch, Thunderbolt 4 | Windows 11 |
| Surface Pro 9 | 2022-10 | 2022-10 | Intel + ARM options | Windows 11 |
| Surface Pro 10 | 2024-03 | 2024-04 | Business-focused refresh | Windows 11 |
