# Scottish Sports Personality of the Year — Annual Main Award Winners

| Year | Winner | Sport / Discipline | Achievement Context |
|---:|---|---|---|
| 2011 | Andy Murray | Tennis | Grand Slam finalist season |
| 2012 | Chris Hoy | Track cycling | Olympic gold medals |
| 2013 | Nicola Adams | Boxing | World champion year |
| 2014 | Lizzy Yarnold | Skeleton | Olympic champion season |
| 2015 | Lewis Hamilton | Formula One | World champion |
| 2016 | Nicola Adams | Boxing | Second Olympic gold |
| 2017 | Chris Froome | Road cycling | Grand Tour winner |
| 2018 | Laura Muir | Athletics | European champion |
| 2019 | Andy Robertson | Football (soccer) | UEFA Champions League winner |
| 2020 | Duncan Scott | Swimming | Olympic-qualifying world medals |
