# FIFA Career Mode Suggested Saves  European Clubs (with 2023–24 League Finish)

| League | Club | City | Stadium | 2023–24 Finish | Points | Goal Difference |
|---|---|---|---|---:|---:|---:|
| Premier League | Arsenal | London | Emirates Stadium | 2 | 89 | +62 |
| Premier League | Manchester City | Manchester | Etihad Stadium | 1 | 91 | +60 |
| Premier League | Liverpool | Liverpool | Anfield | 3 | 82 | +45 |
| La Liga | Real Madrid | Madrid | Santiago Bernabéu | 1 | 95 | +63 |
| La Liga | Barcelona | Barcelona | Estadi Olímpic Lluís Companys | 2 | 85 | +35 |
| Serie A | Inter | Milan | San Siro | 1 | 94 | +67 |
| Serie A | Juventus | Turin | Allianz Stadium | 3 | 74 | +23 |
| Bundesliga | Bayer Leverkusen | Leverkusen | BayArena | 1 | 90 | +65 |
| Ligue 1 | Paris Saint-Germain | Paris | Parc des Princes | 1 | 76 | +39 |
