# Interstellar (2014) — Original Motion Picture Soundtrack Track List

| Track No. | Track Title | Performer/Artist |
| ---: | --- | --- |
| 1 | Dreaming of the Crash | Hans Zimmer |
| 2 | Cornfield Chase | Hans Zimmer |
| 3 | Dust | Hans Zimmer |
| 4 | Day One | Hans Zimmer |
| 5 | Stay | Hans Zimmer |
| 6 | S.T.A.Y. | Hans Zimmer |
| 7 | Coward | Hans Zimmer |
| 8 | Mountains | Hans Zimmer |
| 9 | Afraid of Time | Hans Zimmer |
| 10 | No Time for Caution | Hans Zimmer |
| 11 | Detach | Hans Zimmer |
| 12 | Where We're Going | Hans Zimmer |
