# # The Dark Knight (2008) — Full Cast & Crew (IMDb-style credits)

| Section | Name | Credit | Details |
|---|---|---|---|
| Cast | Christian Bale | Bruce Wayne / Batman |  |
| Cast | Heath Ledger | Joker |  |
| Cast | Aaron Eckhart | Harvey Dent / Two-Face |  |
| Cast | Michael Caine | Alfred |  |
| Cast | Gary Oldman | Commissioner Gordon |  |
| Cast | Maggie Gyllenhaal | Rachel Dawes |  |
| Cast | Morgan Freeman | Lucius Fox |  |
| Directed by | Christopher Nolan | Director |  |
| Writing Credits | Jonathan Nolan | Screenplay |  |
| Writing Credits | Christopher Nolan | Screenplay |  |
| Writing Credits | David S. Goyer | Story |  |
| Produced by | Emma Thomas | Producer |  |
| Produced by | Charles Roven | Producer |  |
| Music by | Hans Zimmer | Composer |  |
| Music by | James Newton Howard | Composer |  |
| Cinematography by | Wally Pfister | Director of photography |  |
| Film Editing by | Lee Smith | Editor |  |
| Casting By | John Papsidera | Casting director |  |
