# Leaders of the Liberal Party of Canada (Federal) and How They Were Chosen (1968–2024)

| Leader (Federal LPC) | Start of Leadership | End of Leadership | How Selected / Recorded | Leadership Event (if applicable) | Notes |
|---|---:|---:|---|---|---|
| Pierre Elliott Trudeau | 06-Apr-1968 | 30-Jun-1984 | Elected by national convention delegates | 1968 Liberal leadership convention | Won leadership after Lester B. Pearson’s resignation |
| John Turner | 16-Jun-1984 | 23-Jun-1990 | Elected by national convention delegates | 1984 Liberal leadership convention | Succeeded Trudeau following his retirement |
| Jean Chrétien | 23-Jun-1990 | 12-Dec-2003 | Elected by national convention delegates | 1990 Liberal leadership convention | Took leadership after Turner resigned |
| Paul Martin | 14-Nov-2003 | 02-Dec-2006 | Acclaimed (no contested ballot) | 2003 Liberal leadership convention | Became leader unopposed at convention |
| Stéphane Dion | 02-Dec-2006 | 10-Dec-2008 | Elected by national convention delegates | 2006 Liberal leadership convention | Chosen in a multi-ballot convention |
| Michael Ignatieff | 10-Dec-2008 | 25-May-2011 | Selected by parliamentary caucus; later confirmed by members | 2008 caucus selection; 2009 leadership vote | Became interim then confirmed as leader |
| Bob Rae | 25-May-2011 | 14-Apr-2013 | Appointed as interim leader by caucus | 2011 interim appointment | Served as interim leader until 2013 leadership |
| Justin Trudeau | 14-Apr-2013 | 19-Aug-2024 | Elected by party members under a one-member-one-vote points system | 2013 Liberal leadership election | Selected via national membership vote |
| (Example placeholder for continuity) Interim Leader (TBD) | 19-Aug-2024 | — | To be determined by caucus/party rules | — | Included only to show the recording format for future transitions |
| (Historical reference) Alexander Mackenzie | 01-Jul-1873 | 08-Oct-1880 | Parliamentary caucus leadership in early party era | — | Early federal Liberal leadership often recorded through parliamentary practice |
| (Historical reference) Wilfrid Laurier | 15-Jun-1887 | 06-Aug-1919 | Chosen by parliamentary caucus | — | Long-serving leader; selection predates modern conventions |
| (Historical reference) William Lyon Mackenzie King | 07-Aug-1919 | 14-Jun-1948 | Elected by convention delegates | 1919 Liberal leadership convention | Example of early convention-based selection |
| (Historical reference) Louis St-Laurent | 16-Aug-1948 | 22-Jan-1958 | Acclaimed by convention delegates | 1948 Liberal leadership convention | Unopposed selection at convention |
| (Historical reference) Lester B. Pearson | 16-Jan-1958 | 06-Apr-1968 | Elected by convention delegates | 1958 Liberal leadership convention | Predecessor to Trudeau |
