# Tiny-Population Places Under 100,000 (Grouped by Population Band)

| Population band | Place | Type | Approx. population |
| --- | --- | --- | --- |
| Under 1,000 | Pitcairn Islands | Territory | 56 |
| Under 1,000 | Vatican City | Sovereign state | 842 |
| 1,000–2,000 | Tokelau | Territory | 1,100 |
| 1,000–2,000 | Niue | Territory | 1,500 |
| 2,000–10,000 | Falkland Islands | Territory | 3,140 |
| 2,000–10,000 | Montserrat | Territory | 4,900 |
| 2,000–10,000 | Saint Pierre and Miquelon | Territory | 6,000 |
| 10,000–20,000 | Tuvalu | Sovereign state | 11,200 |
| 10,000–20,000 | Nauru | Sovereign state | 10,800 |
| 10,000–20,000 | Wallis and Futuna | Territory | 11,600 |
| 20,000–40,000 | Palau | Sovereign state | 18,000 |
| 40,000–100,000 | San Marino | Sovereign state | 34,000 |
