# German Prepositions by Required Case (Quick Scan List)

| Preposition | Requires Case | Common Meaning (EN) | Notes / Typical Use |
|---|---|---|---|
| durch | Accusative | through | movement through an area/material |
| um | Accusative | around; at (time) | location around; time “at” (um 8 Uhr) |
| bis | Accusative | until | often with time/place; sometimes used without article |
| ohne | Accusative | without | expresses absence |
| gegen | Accusative | against; around (time) | collision/opposition; approx. time (gegen 7) |
| seit | Dative | since; for (time) | starting point in time (seit gestern) |
| aus | Dative | out of; from | origin, material (aus Holz) |
| von | Dative | from; of | source/possession in spoken German |
| zu | Dative | to; at | direction to a person/place (zu Hause) |
| bei | Dative | at; near; with | at someone’s place; “with” a person |
| trotz | Genitive | despite | formal; colloquial often with dative |
| während | Genitive | during | temporal context; dative occurs in informal speech |
| wegen | Genitive | because of | formal genitive; colloquial dative is common |
| statt / anstatt | Genitive | instead of | often used with genitive; can appear with von + dative |
| außerhalb | Genitive | outside of | location outside an area |
| innerhalb | Genitive | within | location/limits inside an area |
