# Public holidays in Thailand
> Public holidays

| Date | English name | Local name | Remarks |
| --- | --- | --- | --- |
| 1-3 Shawwal | The Feast of the End of Ramadan | Eid ul-Fitr | Observed officially for 10 days, by private institutions from 3 to 7 days. |
| 9-12 Dhul-Hijjah | The Feast of the End of Hajj | Eid ul-Adha | Observed officially for 10 days, by private institutions from 3 to 7 days. |
| 23 September | Saudi National Day (Unification of the Kingdom) | Al-Yaom-ul-Watany | Officially for one day. |
| Date | Name | Local name | Remarks |
| 1 January | New Year's Day | วันขึ้นปีใหม่ (Wan Khuen Pi Mai) | Celebrates the start of the solar and Gregorian year. From 1889–1941, this was held on 1 April. |
| Full moon , 3rd Thai lunar month (February) a | Magha Puja b | วันมาฆบูชา (Wan Makha Bucha) | Buddhist observance commemorating the Buddha 's teaching of Ovada Patimokkha. |
| 6 April | Chakri Memorial Day | วันจักรี (Wan Chakkri) | Commemorates the establishment of the Chakri Dynasty and the founding of Bangkok by King Phutthayotfa Chulalok in 1782. Officially known as King Phutthayotfa Chulalok the Great Day and Chakri Dynasty Memorial Day ( วันพระบาทสมเด็จพระพุทธยอดฟ้าจุฬาโลกมหาราชและวันที่ระลึกมหาจักรีบรมราชวงศ์ ). |
| 13–15 April | Songkran Festival | วันสงกรานต์ (Wan Songkran) | Traditional Thai new year, and the major holiday of the year. Many people return home for family reunions during this period. The first day is known as วันมหาสงกรานต์ (Wan Maha Songkran), the second as วันเนา (Wan Nao), and the third as วันเถลิงศก (Wan Thaloeng Sok). The 14th is also observed as Family Day . |
| 5 May | Coronation Day | วันฉัตรมงคล (Wan Chattra Mongkhon) | Commemorates the coronation of King Bhumibol Adulyadej in 1950. |
| May, arbitrary date | Royal Ploughing Ceremony and Farmer's Day c | วันพืชมงคล (Wan Phuetcha Mongkhon) | Ceremony giving blessing to the country's farmers. Officially known as วันพระราชพิธีพืชมงคลจรดพระนังคัลแรกนาขวัญ (Wan Phra Ratcha Phithi Phuetcha Monkhon Lae Charot Phra Nangkhan Raek Na Khwan). Also observed as Farmer's Day. Each year's date is astrologically determined and announced by the Bureau of the Royal Household . |
| Full moon, 6th Thai lunar month (May) a | Vesak b | วันวิสาขบูชา (Wan Wisakha Bucha) | Buddhist observance commemorating the birth, enlightenment and passing of the Buddha. Also observed as National Tree Day. |
| Full moon, 8th Thai lunar month (July) a | Asalha Puja b | วันอาสาฬหบูชา (Wan Asanha Bucha) | Buddhist observance commemorating the Buddha's first discourse, the Dhammacakkappavattana Sutta |
| First waning moon, 8th Thai lunar month (July) a | Beginning of Vassa b c | วันเข้าพรรษา (Wan Khao Phansa) | Buddhist observance marking the beginning of Vassa, also known as Buddhist Lent |
| 12 August | The Queen's Birthday | วันเฉลิมพระชนมพรรษาสมเด็จพระนางเจ้าฯ พระบรมราชินีนาถ (Wan Chaloem Phra Chonmaphansa Somdet Phra Nang Chao Phra Boromma Rachini Nat) | Commemorates the birthday of Queen Sirikit in 1932; also observed as National Mother's Day ( วันแม่แห่งชาติ ; Wan Mae Haeng Chat). |
| 23 October | Chulalongkorn Day | วันปิยมหาราช (Wan Piya Maharat) | Commemorates the passing of King Chulalongkorn in 1910. |
| 5 December | The King's Birthday | วันเฉลิมพระชนมพรรษาพระบาทสมเด็จพระเจ้าอยู่หัว (Wan Chaloem Phra Chonmaphansa Phra Bat Somdet Phra Chao Yu Hua) | Commemorates the birthday of King Bhumibol Adulyadej in 1927. Also observed as National Day and National Father's Day . |
| 10 December | Constitution Day | วันรัฐธรรมนูญ (Wan Rattha Thammanun) | Commemorates the promulgation of the first permanent constitution in 1932. |
| 31 December | New Year's Eve | วันสิ้นปี (Wan Sin Pi) | Final day of the solar year. |
