# State University — Comprehensive Fee Schedule (Most Common Student Charges)

| Charge Type | Description | Who Pays | Amount |
| --- | --- | --- | ---: |
| Tuition (per credit) | Undergraduate base tuition | All undergraduates | $410 |
| Student activity fee | Student organizations and events | All students | $95 |
| Technology fee | LMS, software, campus Wi‑Fi | All students | $120 |
| Health services fee | Clinic access | All students | $160 |
| Recreation fee | Gym and intramurals | All students | $85 |
| Lab fee | Science/engineering labs (per course) | Students in lab courses | $60–$240 |
| Program fee | Business/Engineering differential (per term) | Students in specified majors | $300 |
| Orientation fee | New student orientation (one-time) | New students | $180 |
| Parking permit | Annual commuter permit | Drivers | $240 |
| Housing deposit | On-campus housing deposit | On-campus residents | $250 |
