# Rome Statute of the International Criminal Court — Parties and Key Domestic Implementation (Selected States)

| State | Rome Statute status | Ratification/accession date | Implementing legislation enacted? | Cooperation law | Notable ICC-related policy note |
|---|---|---|---|---|---|
| Germany | Party | 2000-12-11 | Yes | Yes | Active supporter of ICC cooperation |
| United Kingdom | Party | 2001-10-04 | Yes | Yes | Separate acts for different jurisdictions |
| France | Party | 2000-06-09 | Yes | Yes | Constitutional amendments preceded ratification |
| Kenya | Party | 2005-03-15 | Partial | Yes | Domestic debates after 2010s cases |
| Philippines | Withdrew | Withdrawal effective 2019-03-17 | N/A | N/A | Withdrawal followed preliminary examination |
| South Africa | Party | 2000-11-27 | Yes | Yes | Past domestic litigation on arrest obligations |
| Japan | Party | 2007-07-17 | Yes | Yes | Strong budgetary contributor |
| Ukraine | Not a party (accepts jurisdiction) | Declarations: 2014/2015 | N/A | Partial | Article 12(3) declarations |
| United States | Signatory (unsigned) | Signed 2000; later unsigned | N/A | Limited | American Service-Members’ Protection Act |
| Sudan | Not a party | N/A | N/A | N/A | Security Council referral context |
