# List of Chinese animated films
> Highest - grossing films

| Rank | Title | Gross | Year | Ref. |
| --- | --- | --- | --- | --- |
| 1 | Kung Fu Panda 3 | 1,001.761 | 2016 | [52] |
| 2 | Monkey King: Hero Is Back | 955.944 | 2015 | [53] |
| 3 | Big Fish & Begonia | 564.597 | 2016 | [54] |
| 4 | Boonie Bears: Mystical Winter | 295.347 | 2015 | [55] |
| 5 | Boonie Bears III | 287.284 | 2016 | [56] |
| 6 | Boonie Bears: To the Rescue | 247.869 | 2014 | [57] |
| 7 | Mission Incredible: Adventures on the Dragon's Trail | 167.556 | 2012 | [58] |
| 8 | Moon Castle: The Space Adventure | 139.250 | 2011 | [59] |
| 9 | The Mythical Ark: Adventures in Love & Happiness | 124.939 | 2013 | [60] |
| 10 | Pleasant Goat and Big Big Wolf: The Tiger Prowess | 124.383 | 2010 | [61] |
| 11 | One Hundred Thousand Bad Jokes | 119.611 | 2014 | [62] |
| 12 | New Happy Dad and Son 2: The Instant Genius | 86.99 | 2016 | [63] |
| 13 | Meet the Pegasus | 86.204 | 2014 | [64] |
| 14 | The Super Snail Adventure | 82.793 | 2009 | [65] |
| 15 | Roco Kingdom 4 | 76.953 | 2015 | [66] |
| 16 | Seer the Movie 3: Heroes Alliance | 76.449 | 2013 | [67] |
| 17 | I Love Wolffy 2 | 75.509 | 2013 | [68] |
| 18 | Little Door Gods | 78.633 | 2016 | [69] |
| 19 | I Love Wolffy | 72.221 | 2012 | [70] |
| 20 | Mr. Black: Green Star | 69.921 | 2015 | [71] |
