# Red Wine Varietal Style Chart  Body Level and Signature Flavor Profile

| Red Wine Varietal | Typical Body (Light → Full) | Common Aromas / Flavor Notes | Typical Tannin Level |
|---|---|---|---|
| Gamay (Beaujolais) | Light | Raspberry, strawberry, violet, bubblegum, pepper | Low |
| Pinot Noir | Light – Medium | Cherry, cranberry, strawberry, mushroom, forest floor | Low – Medium |
| Grenache / Garnacha | Medium | Red berries, dried herbs, white pepper, anise, plum | Medium |
| Sangiovese | Medium | Sour cherry, tomato leaf, dried oregano, leather, earth | Medium – High |
| Barbera | Medium | Black cherry, plum, licorice, dried flowers, spice | Medium |
| Tempranillo | Medium – Full | Cherry, fig, tobacco, leather, vanilla (oak), earth | Medium – High |
| Syrah / Shiraz | Full | Blackberry, black pepper, smoked meat, olive, cocoa | High |
| Malbec | Full | Plum, blackberry, violets, cocoa, sweet spice | Medium – High |
| Cabernet Sauvignon | Full | Blackcurrant, cassis, cedar, graphite, mint, oak | High |
| Nebbiolo | Full | Rose, tar, cherry, orange peel, truffle, leather | High |
