# Guitar Hero Franchise — Albums and Singles Featured (Including Non-Setlist Promotional Compilations)

| Release type | Title | Primary artist | Year | Relationship to Guitar Hero |
| --- | --- | --- | --- | --- |
| Promotional compilation | "Guitar Hero: The Promo Sampler" | Various Artists | 2006 | Given at events; not an in-game setlist |
| Label sampler | "Shred Fest Sampler" | Various Artists | 2007 | Tie-in CD; songs inspired by GH marketing |
| Soundtrack album | "Guitar Hero III: Legends of Rock (Soundtrack)" | Various Artists | 2007 | Retail soundtrack album (overlaps game) |
| Digital compilation | "Guitar Hero Hits: Vol. 1" | Various Artists | 2008 | Curated playlist; not tied to one game disc |
| Single | "Through the Fire and Flames" | DragonForce | 2006 | Featured track; single not a setlist |
| Single | "Miss Murder" | AFI | 2006 | Featured track; single not a setlist |
| Digital compilation | "Guitar Hero Party Mix" | Various Artists | 2009 | Non-game compilation associated with brand |
| Promotional compilation | "Guitar Hero Tour Giveaway" | Various Artists | 2010 | Tour promo; not a game setlist |
| Soundtrack album | "Guitar Hero: Metallica (Soundtrack)" | Various Artists | 2009 | Retail soundtrack album (curated) |
| Label sampler | "Activision Rhythm Sampler" | Various Artists | 2008 | Cross-promo; includes non-GH material |
