# Earth's Crust Elemental Abundances (Selected Minor and Trace Elements)

| Category | Element | Symbol | Crustal abundance (ppm by weight) | Typical magnitude |
|---|---|---|---:|---|
| Minor | Carbon | C | 200 | 10^2 ppm |
| Minor | Sulfur | S | 260 | 10^2 ppm |
| Minor | Chlorine | Cl | 170 | 10^2 ppm |
| Minor | Fluorine | F | 600 | 10^2–10^3 ppm |
| Minor | Chromium | Cr | 100 | ~10^2 ppm |
| Minor | Nickel | Ni | 80 | ~10^2 ppm |
| Minor | Zinc | Zn | 70 | ~10^2 ppm |
| Trace | Copper | Cu | 60 | ~10^1–10^2 ppm |
| Trace | Lead | Pb | 14 | ~10^1 ppm |
| Trace | Uranium | U | 2.7 | few ppm |
| Trace | Thorium | Th | 10.5 | ~10^1 ppm |
| Trace | Gold | Au | 0.004 | ppb-level (ppm fraction) |
