# Guitar Hero III  Legends of Rock — Setlist with Difficulty Tiers and Unlock Requirements

| Tier | Song title | Artist | Year | Difficulty (Guitar/Bass) | Unlock requirement |
| --- | --- | --- | --- | --- | --- |
| Opening Licks | "Rock You Like a Hurricane" | Scorpions | 1984 | 4/5 | Available at start |
| Opening Licks | "Miss Murder" | AFI | 2006 | 5/6 | Available at start |
| Opening Licks | "When You Were Young" | The Killers | 2006 | 4/5 | Complete tutorial |
| Amp-Warmers | "Paint It, Black" | The Rolling Stones | 1966 | 5/6 | Earn 3 stars on 3 songs |
| Amp-Warmers | "School's Out" | Alice Cooper | 1972 | 4/5 | Beat Tier: Opening Licks |
| Amp-Warmers | "My Name Is Jonas" | Weezer | 1994 | 3/4 | Beat 2 songs in Amp-Warmers |
| Return of the Shred | "Cult of Personality" | Living Colour | 1988 | 6/7 | Defeat first boss battle |
| Return of the Shred | "The Metal" | Tenacious D | 2006 | 5/6 | Beat Tier: Amp-Warmers |
| Return of the Shred | "Raining Blood" | Slayer | 1986 | 8/9 | 5-star 5 songs |
| Final Encore | "Through the Fire and Flames" | DragonForce | 2006 | 10/10 | Beat final setlist |
| Bonus | "Even Flow" | Pearl Jam | 1991 | 6/7 | Purchase with in-game currency |
| Bonus | "Cliffs of Dover" | Eric Johnson | 1990 | 7/8 | Purchase with in-game currency |
