# List of highest - grossing films in Singapore
> Top - grossing films in 2005

| Rank | Title | Studio | Gross | Language |
| --- | --- | --- | --- | --- |
| 1 | Harry Potter and the Goblet of Fire | Warner Brothers | $5.8m | English |
| 2 | King Kong | Universal Studios | $4.8m | English |
| 3 | Star Wars: Episode III – Revenge of the Sith | 20th Century Fox | $4.1m | English |
| 4 | The Chronicles of Narnia: The Lion, the Witch and the Wardrobe | Buena Vista Pictures | $4.1m | English |
| 5 | Madagascar | DreamWorks SKG | $3.6m | English |
| 6 | War of the Worlds | DreamWorks SKG | $3.2m | English |
| 7 | Fantastic Four | 20th Century Fox | $2.97m | English |
| 8 | Batman Begins | Warner Brothers | $2.8m | English |
| 9 | Constantine | Warner Brothers | $2.8m | English |
| 10 | Mr. & Mrs. Smith | 20th Century Fox | $2.6m | English |
