# Fast chess
> World championships

| # | Name | Year | Country |
| --- | --- | --- | --- |
| 1 | Mikhail Tal | 1988 [61] | Soviet Union |
| 2 | Alexander Grischuk | 2006 [62] [63] | Russia |
| 3 | Vassily Ivanchuk | 2007 [64] | Ukraine |
| 4 | Leinier Domínguez | 2008 [65] | Cuba |
| 5 | Magnus Carlsen | 2009 [33] | Norway |
| 6 | Levon Aronian | 2010 [34] | Armenia |
| 7 | Alexander Grischuk | 2012 [44] | Russia |
| 8 | Lê Quang Liêm | 2013 [47] | Vietnam |
| 9 | Magnus Carlsen | 2014 [48] | Norway |
| 10 | Alexander Grischuk | 2015 [56] | Russia |
