# Major Cult Centers and Temples Associated with Egyptian Gods

| Deity | Main cult city | Temple/complex | Region | Notes |
|---|---|---|---|---|
| Amun | Thebes (Waset) | Karnak Temple Complex | Upper Egypt | Major state cult |
| Ptah | Memphis | Temple of Ptah | Lower Egypt | Memphite priesthood |
| Ra | Heliopolis | Sun temples (various) | Lower Egypt | Solar cult center |
| Horus | Edfu | Temple of Horus at Edfu | Upper Egypt | Ptolemaic-era temple |
| Isis | Philae | Temple of Isis at Philae | Upper Egypt | Late-period prominence |
| Osiris | Abydos | Osireion/Abydos temples | Upper Egypt | Pilgrimage focus |
| Hathor | Dendera | Temple of Hathor at Dendera | Upper Egypt | Music/ritual scenes |
| Neith | Sais | Temple precincts at Sais | Lower Egypt | Delta cult |
| Anubis | Cynopolis | Local shrines (various) | Middle Egypt | City-name tradition |
| Sobek | Faiyum (Crocodilopolis) | Sobek temples | Middle Egypt | Faiyum oases |
| Khnum | Elephantine | Elephantine temples | Upper Egypt | Nile island cult |
