# Sovereign Credit Ratings by Country (Single Composite Rating Only)

| Country | Composite Sovereign Rating | Composite Outlook | Last Review Date | Notes |
|---|---|---|---|---|
| Germany | AAA | Stable | 2024-05 | Composite view (not agency-specific) |
| France | AA | Negative | 2024-04 | Blended from multiple sources |
| Italy | BBB | Stable | 2024-06 | Composite indicator only |
| Spain | A | Stable | 2024-03 | Does not separate agencies |
| Brazil | BB | Positive | 2024-02 | Overall sovereign risk score |
| South Africa | BB- | Stable | 2024-01 | Aggregated rating |
| Japan | A+ | Stable | 2024-07 | No agency columns |
| Mexico | BBB- | Negative | 2024-08 | Summary rating |
| India | BBB- | Stable | 2024-09 | Single overall rating |
| Turkey | B+ | Stable | 2024-10 | Composite only |
| Indonesia | BBB | Stable | 2024-11 | Not split by agency |
