# Riverbank Community School (London Borough of Lewisham) Term Dates 2015-2016

| Category | Term / Holiday | First Day | Last Day |
| --- | --- | --- | --- |
| Autumn | Autumn Term | Thursday, 3 September 2015 | Friday, 23 October 2015 |
| Autumn | Autumn Half Term | Saturday, 24 October 2015 | Sunday, 1 November 2015 |
| Autumn | Autumn Term (Part 2) | Monday, 2 November 2015 | Friday, 18 December 2015 |
| Winter | Christmas Holidays | Saturday, 19 December 2015 | Sunday, 3 January 2016 |
| Spring | Spring Term | Monday, 4 January 2016 | Friday, 12 February 2016 |
| Spring | Spring Half Term | Saturday, 13 February 2016 | Sunday, 21 February 2016 |
| Spring | Spring Term (Part 2) | Monday, 22 February 2016 | Thursday, 24 March 2016 |
| Spring | Easter Holidays | Friday, 25 March 2016 | Sunday, 10 April 2016 |
| Summer | Summer Term | Monday, 11 April 2016 | Friday, 27 May 2016 |
| Summer | Summer Half Term | Saturday, 28 May 2016 | Sunday, 5 June 2016 |
| Summer | Summer Term (Part 2) | Monday, 6 June 2016 | Wednesday, 20 July 2016 |
| Summer | Summer Holidays | Thursday, 21 July 2016 | Sunday, 4 September 2016 |
