# Typical Toddler Growth Ranges by Month (12–24 months) — Height and Weight

| Age (months) | Typical weight range (lb) | Typical height range (in) |
|---:|---:|---:|
| 12 | 19.0–27.5 | 28.0–32.5 |
| 13 | 19.5–28.5 | 28.5–33.0 |
| 14 | 20.0–29.5 | 29.0–33.5 |
| 15 | 20.5–30.5 | 29.5–34.0 |
| 16 | 21.0–31.5 | 30.0–34.5 |
| 17 | 21.5–32.5 | 30.5–35.0 |
| 18 | 22.0–33.5 | 31.0–35.5 |
| 19 | 22.5–34.5 | 31.5–36.0 |
| 20 | 23.0–35.5 | 32.0–36.5 |
| 21 | 23.5–36.5 | 32.5–37.0 |
| 22 | 24.0–37.5 | 33.0–37.5 |
| 23 | 24.5–38.5 | 33.5–38.0 |
| 24 | 25.0–39.5 | 34.0–38.5 |
