# Diploma-Holder Government Jobs (Entry-Level) — Example Openings by Organization

| Recruiting Organization/Department | Post Name | Diploma Field/Stream Targeted | Entry Pathway | Notes |
| --- | --- | --- | --- | --- |
| State Public Works Department (PWD) | Junior Engineer (Civil) | Diploma in Civil Engineering | Direct recruitment / fresher eligible | Commonly advertised as "Diploma JE" |
| Municipal Corporation (Urban Local Body) | Junior Engineer (Electrical) | Diploma in Electrical Engineering | Direct recruitment | City/zone-wise postings possible |
| State Electricity Distribution Company (DISCOM) | Technician (Electrical) | Diploma in Electrical/Electronics | Apprentice-to-regular / direct | Often titled Technician/Junior Technician |
| Water Supply & Sewerage Board | Sub-Engineer (Civil/Mechanical) | Diploma in Civil/Mechanical | Direct recruitment | Field/site-oriented role |
| Government Polytechnic (Higher Education Dept.) | Lab Assistant / Workshop Instructor | Diploma in relevant engineering branch | Contract/regular (varies) | Targeted to diploma practical skills |
| State Transport Corporation | Junior Technician (Mechanical) | Diploma in Mechanical/Automobile | Direct recruitment | Depot-based technical role |
| Health Department / Medical College (Govt.) | Biomedical Technician | Diploma in Biomedical Engineering | Direct recruitment | Hospital equipment maintenance |
| Department of Telecommunications (Govt./PSU) | Junior Telecom Technician | Diploma in Electronics/Telecom | Direct recruitment | Network/field support role |
| Irrigation Department | Draftsman (Civil) | Diploma in Civil + drafting skills | Direct recruitment | CAD/drawing focused |
| Government Printing & Stationery Department | Junior Supervisor (Production) | Diploma in Printing/Mechanical | Direct recruitment | Plant/press operations support |
