# Nationwide Korea Postal Prefix Table (mixed formats and sub-city breakdowns)

| Area | Prefix format shown | Coverage |
|---|---|---|
| Seoul | 01~09 | City-wide (OK format) |
| Incheon | 21~23 | City-wide (OK format) |
| Daejeon (by district) | 340NN~341NN | District-level (extended) |
| Busan (selected districts) | 462NN~463NN | District-level (extended) |
| Daegu | 41~43 | City-wide (OK format) |
| Ulsan (by district) | 440NN~441NN | District-level (extended) |
| Gyeonggi-do (by city) | 10xNN | City-level (extended) |
| Gangwon-do | 24~26 | Province-wide (OK format) |
| Jeollabuk-do (by city) | 54xNN~55xNN | City-level (extended) |
