# Public Holidays in Canada in 2016   Federal Holiday Calendar

| Day | Date | Holiday | Notes |
| --- | --- | --- | --- |
| Friday | 01-Jan-2016 | New Year's Day | Federal holiday |
| Friday | 25-Mar-2016 | Good Friday | Observed by federal government |
| Monday | 23-May-2016 | Victoria Day | Monday preceding May 25 |
| Friday | 01-Jul-2016 | Canada Day | Federal holiday |
| Monday | 01-Aug-2016 | Civic Holiday | Observed in many provinces (varies) |
| Monday | 05-Sep-2016 | Labour Day | First Monday in September |
| Monday | 10-Oct-2016 | Thanksgiving | Second Monday in October |
| Friday | 11-Nov-2016 | Remembrance Day | Federal observance; varies by province |
| Monday | 26-Dec-2016 | Boxing Day | Federal holiday |
| Tuesday | 27-Dec-2016 | Christmas Day (Observed) | Observed day in lieu of Dec 25 |
| Wednesday | 28-Dec-2016 | Boxing Day (Observed) | Observed day in lieu of Dec 26 |
