# Shotgun
> Design factors

| Size | Diameter | Pellets/10 g lead | Pellets/10 g steel |
| --- | --- | --- | --- |
| FF | 5.84 mm (.230") | 8 | 12 |
| F | 5.59 mm (.220") | 10 | 14 |
| TT | 5.33 mm (.210") | 11 | 16 |
| T | 5.08 mm (.200") | 13 | 19 |
| BBB | 4.83 mm (.190") | 15 | 22 |
| BB | 4.57 mm (.180") | 18 | 25 |
| B | 4.32 mm (.170") | 21 | 30 |
| 1 | 4.06 mm (.160") | 25 | 36 |
| 2 | 3.81 mm (.150") | 30 | 44 |
| 3 | 3.56 mm (.140") | 37 | 54 |
| 4 | 3.30 mm (.130") | 47 | 68 |
| 5 | 3.05 mm (.120") | 59 | 86 |
| 6 | 2.79 mm (.110") | 78 | 112 |
| 7 | 2.41 mm (.100") | 120 | 174 |
| 8 | 2.29 mm (.090") | 140 | 202 |
| 9 | 2.03 mm (.080") | 201 | 290 |
