# Chromosomal Aneuploidy Overview  Types, Phenotypes, and Survival

| Aneuploidy type | Karyotype example | Common name | Core clinical features (brief) | Typical viability |
|---|---|---|---|---|
| Trisomy | 47,XX,+21 | Down syndrome | ID, congenital heart disease | Often viable |
| Trisomy | 47,XX,+18 | Edwards syndrome | clenched fists, growth restriction | Limited survival |
| Trisomy | 47,XY,+13 | Patau syndrome | holoprosencephaly, polydactyly | Limited survival |
| Monosomy X | 45,X | Turner syndrome | short stature, gonadal dysgenesis | Often viable |
| XXY | 47,XXY | Klinefelter syndrome | hypogonadism, infertility | Viable |
| XYY | 47,XYY | 47,XYY syndrome | tall stature, variable learning issues | Viable |
| XXX | 47,XXX | Triple X syndrome | variable, often mild | Viable |
| Trisomy | 47,XX,+9 | Trisomy 9 | craniofacial anomalies | Usually nonviable |
| Trisomy | 47,XX,+16 | Trisomy 16 | pregnancy loss | Nonviable |
| Segmental deletion | 46,XX,del(5p) | Cri-du-chat syndrome | cat-like cry, microcephaly | Viable |
| Segmental deletion | 46,XY,del(4p) | Wolf-Hirschhorn syndrome | "Greek warrior" facies, seizures | Variable |
