# Canon EOS Full-Frame and Pro DSLR Body Weights (Selected 5D 6D 1D 7D Series)

| Model | Segment | Sensor Format | Weight (body only, approx.) | Notes |
|---|---|---|---:|---|
| Canon EOS 5D Mark II | Full-frame | Full Frame | 810 g | Magnesium-alloy body |
| Canon EOS 5D Mark III | Full-frame | Full Frame | 860 g | Dual card slots |
| Canon EOS 5D Mark IV | Full-frame | Full Frame | 800 g | Built-in GPS/Wi‑Fi varies by region |
| Canon EOS 6D | Full-frame | Full Frame | 755 g | Compact full-frame body |
| Canon EOS 6D Mark II | Full-frame | Full Frame | 765 g | Vari-angle LCD |
| Canon EOS 7D | Prosumer (APS-C) | APS-C | 820 g | Rugged APS-C body |
| Canon EOS 7D Mark II | Prosumer (APS-C) | APS-C | 820 g | Higher-speed sports/wildlife |
| Canon EOS-1D X | Professional | Full Frame | 1340 g | Integrated vertical grip |
| Canon EOS-1D X Mark II | Professional | Full Frame | 1340 g | Heaviest class body |
