# Lawrence Technological University
> Academics

| Major/Program | Type of Program |
| --- | --- |
| Educational Technology | Master |
| Computer Science of Intelligent Systems | Master |
| Computer Science of Data Mining | Master |
| Technical and Professional Communication | Master |
| Pre-Dental | Pre-Professional |
| Pre-Law | Pre-Professional |
| Pre-Dental | Pre-Professional |
| Chemical Biology | Four-year Baccalaureate |
| Chemistry | Four-year Baccalaureate |
| Computer Science | Four-year Baccalaureate |
| English and Communication Arts | Four-year Baccalaureate |
| Environmental Chemistry | Four-year Baccalaureate |
| Humanities | Four-year Baccalaureate |
| Mathematics | Four-year Baccalaureate |
| Mathematics and Computer Science | Four-year Baccalaureate |
| Media Communication | Four-year Baccalaureate |
| Molecular and Cell Biology | Four-year Baccalaureate |
| Physics | Four-year Baccalaureate |
| Physics and Computer Science | Four-year Baccalaureate |
| Psychology | Four-year Baccalaureate |
| Chemical Technology | Two-year Associate |
| General Studies | Two-year Associate |
| Radio and Television Broadcasting | Two-year Associate |
| Biology | Minor |
| Chemistry | Minor |
| Economics | Minor |
| English | Minor |
| General Sciences | Minor |
| History | Minor |
| Mathematics | Minor |
| Media Communication | Minor |
| Nanotechnology | Minor |
| Physics | Minor |
| Philosophy | Minor |
| Psychology | Minor |
| Technical and Professional Communication | Minor |
| Bioinformatics | Graduate Certificate |
| Industrial Design, Communication, and Presentation | Graduate Certificate |
| Instructional Technology | Graduate Certificate |
| Post-Baccalaureate Certificate in Premedical Studies | Graduate Certificate |
| Technical and Professional Communication | Graduate Certificate |
| Writing for the Digital Age | Graduate Certificate |
| Workplace Technology | Graduate Certificate |
| Computer Science | Undergraduate Certificate |
| Industrial/Organizational Psychology | Undergraduate Certificate |
| Technical and Professional Communication | Undergraduate Certificate |
| Television and Video Production | Undergraduate Certificate |
