# Browser Usage Share by Month (US Desktop) — Single-Browser Focus (Chrome Only)

| Reporting Month | Chrome Usage Share (US Desktop) | Source Type | Notes |
| --- | --- | --- | --- |
| 2020-01 | 63.1% | Panel estimate | Desktop only |
| 2020-04 | 64.0% | Panel estimate | Seasonal variation |
| 2020-07 | 64.7% | Panel estimate | Gradual rise |
| 2020-10 | 65.2% | Panel estimate | |
| 2021-01 | 65.9% | Panel estimate | |
| 2021-04 | 66.4% | Panel estimate | |
| 2021-07 | 66.8% | Panel estimate | |
| 2021-10 | 67.0% | Panel estimate | |
| 2022-01 | 67.3% | Panel estimate | |
| 2022-04 | 67.1% | Panel estimate | |
