# Top London Stations — Rank and Category (No Passenger Totals)

| Rank | Station | Station Type | Interchange Level | Primary Networks | Notes |
|---:|---|---|---|---|---|
| 1 | Waterloo | National Rail terminus | Very high | National Rail, Underground | Major South West services |
| 2 | Victoria | National Rail terminus | Very high | National Rail, Underground | Gatwick Express hub |
| 3 | Liverpool Street | National Rail terminus | Very high | National Rail, Underground, Elizabeth line | City commuter gateway |
| 4 | London Bridge | Through + terminus | Very high | National Rail, Underground | Thameslink connections |
| 5 | Paddington | National Rail terminus | High | National Rail, Underground, Elizabeth line | Heathrow access |
| 6 | King's Cross | National Rail terminus | High | National Rail, Underground | Long-distance services |
| 7 | Euston | National Rail terminus | High | National Rail, Underground | West Coast Main Line |
| 8 | Stratford | Through + terminus | High | National Rail, Underground, DLR, Overground | East London hub |
| 9 | Canary Wharf | Urban interchange | High | Jubilee, DLR, Elizabeth line | Docklands business core |
| 10 | Bank | Underground interchange | High | Central, Northern, Waterloo & City, DLR | Dense commuter flows |
