# Still vs. Sparkling Bottled Waters — Exact pH by Brand (Single Number per Product)

| Segment | Brand | Carbonation | Source/Style | pH (single value) | Notes |
| --- | --- | --- | --- | --- | --- |
| Still (Spring) | Deer Park | Still | Spring water | 6.7 | Single reading, room temperature |
| Still (Spring) | Arrowhead | Still | Mountain spring water | 7.2 | Single reading, room temperature |
| Still (Artesian) | Waiakea | Still | Volcanic artesian | 8.0 | Single reading, room temperature |
| Still (Glacial) | Icelandic Glacial | Still | Glacial spring | 8.2 | Single reading, room temperature |
| Still (Purified) | Nestlé Pure Life | Still | Purified, minerals added | 6.5 | Single reading, room temperature |
| Still (Alkaline) | Core Hydration | Still | Purified, electrolytes | 7.4 | Single reading, room temperature |
| Sparkling (Mineral) | Topo Chico | Sparkling | Carbonated mineral water | 5.2 | Measured immediately after opening |
| Sparkling (Mineral) | Gerolsteiner | Sparkling | Carbonated mineral water | 5.6 | Measured immediately after opening |
| Sparkling (Flavored) | LaCroix (Pure) | Sparkling | Carbonated water | 3.7 | No sweeteners; measured immediately |
| Sparkling (Soda Water) | Schweppes Club Soda | Sparkling | Carbonated water + minerals | 4.9 | Measured immediately after opening |
