# India Capitals and Leadership Directory (States + UTs)

| Region | Type | Capital | Governor/Lt. Governor | Chief Minister |
|---|---|---|---|---|
| Andhra Pradesh | State | Amaravati | S. Abdul Nazeer | N. Chandrababu Naidu |
| Assam | State | Dispur | Gulab Chand Kataria | Himanta Biswa Sarma |
| Gujarat | State | Gandhinagar | Acharya Devvrat | Bhupendra Patel |
| Karnataka | State | Bengaluru | Thawar Chand Gehlot | Siddaramaiah |
| Kerala | State | Thiruvananthapuram | Arif Mohammed Khan | Pinarayi Vijayan |
| Maharashtra | State | Mumbai | Ramesh Bais | Eknath Shinde |
| Tamil Nadu | State | Chennai | R. N. Ravi | M. K. Stalin |
| Delhi (NCT) | Union Territory | New Delhi | V. K. Saxena | Arvind Kejriwal |
| Puducherry | Union Territory | Puducherry | C. P. Radhakrishnan | N. Rangasamy |
| Chandigarh | Union Territory | Chandigarh | Banwarilal Purohit | — |
| Jammu and Kashmir | Union Territory | Srinagar/Jammu | Manoj Sinha | — |
