# Army Enlisted Roles (MOS) with Entry Notes (Not Diploma Recruitment)

| MOS Code | Role Title | Category | Physical Demand | Typical Entry Notes |
|---|---|---|---|---|
| 35F | Intelligence Analyst | Military Intelligence | Heavy | Enlisted; clearance required |
| 35G | Imagery Analyst | Military Intelligence | Medium | Enlisted; aptitude-based |
| 35L | Counterintelligence Agent | Military Intelligence | Medium | Enlisted; background screening |
| 18B | Special Forces Weapons Sergeant | Special Forces | N/A | Selection pipeline |
| 18C | Special Forces Engineer Sergeant | Special Forces | N/A | Engineering tasks; training required |
| 18D | Special Forces Medical Sergeant | Special Forces | N/A | Advanced medical training |
| 12B | Combat Engineer | Engineers | Heavy | Field operations |
| 68W | Combat Medic Specialist | Medical | Medium | Medical training pipeline |
| 25B | Information Technology Specialist | Signal | Light | IT-focused enlisted role |
| 91B | Wheeled Vehicle Mechanic | Maintenance | Heavy | Mechanical aptitude |
| 42A | Human Resources Specialist | Admin | Light | Personnel administration |
| 88M | Motor Transport Operator | Transport | Medium | Vehicle operations |
