# List of colonial governors of Pennsylvania
> Governors

| # | Name | Title | Term | Capital |
| --- | --- | --- | --- | --- |
| 1 | William Markham | Deputy Governor | 1681–1682 | Philadelphia |
| 2 | William Penn | Proprietor | 1682 | Philadelphia |
| 3 | Thomas Lloyd | President of Council | 1684 | Philadelphia |
| 4 | William Clayton | Acting Governor | 1684–1685 | Philadelphia |
| 5 | John Blackwell | Deputy Governor | 1688 | Philadelphia |
| 6 | Thomas Lloyd | Deputy Governor | 1690 | Philadelphia |
| 7 | William Markham | Deputy Governor | 1691 | Philadelphia |
| 8 | Benjamin Fletcher | Governor | 1693 | New York |
| 9 | William Markham | Deputy Governor | 1693 | Philadelphia |
| 10 | Samuel Carpenter | Deputy Governor | 1694–1698 | Philadelphia |
| 11 | William Penn | Proprietor | 1699 | Philadelphia |
| 12 | Andrew Hamilton | Deputy Governor | 1701–1703 | Philadelphia |
| 13 | Edward Shippen | President of Council | 1703–1704 | Philadelphia |
| 14 | John Evans | Deputy Governor | 1704–1709 | Philadelphia |
| 15 | Charles Gookin | Deputy Governor | 1709–1717 | Philadelphia |
| 16 | William Keith | Deputy Governor | 1717–1726 | Philadelphia |
| 17 | Patrick Gordon | Deputy Governor | 1726–1736 | Philadelphia |
| 18 | James Logan | President of Council | 1736 | Philadelphia |
| 19 | George Thomas | Deputy Governor | 1738–1747 | Philadelphia |
| 20 | Anthony Palmer | President of Council | 1747 | Philadelphia |
| 21 | James Hamilton | Deputy Governor | 1748–1754 | Philadelphia |
| 22 | Robert Hunter Morris | Deputy Governor | 1754–1756 | Philadelphia |
| 23 | William Denny | Deputy Governor | 1756–1759 | Philadelphia |
| 24 | James Hamilton | Deputy Governor | 1759–1763 | Philadelphia |
| 25 | John Penn | Lieutenant Governor | 1763–1771 | Philadelphia |
| 26 | Richard Penn | Lieutenant Governor | 1771–1773 | Philadelphia |
| 27 | John Penn | Lieutenant Governor | 1773–1776 | Philadelphia |
