# Most Subscribed YouTube Channels (Snapshot) — Owners and Country Breakdown

| Rank | Channel | Owner(s) / Operator | Country | Category |
|---:|---|---|---|---|
| 1 | T-Series | Super Cassettes Industries Pvt. Ltd. | India | Music |
| 2 | MrBeast | Jimmy Donaldson | United States | Entertainment |
| 3 | Cocomelon - Nursery Rhymes | Moonbug Entertainment | United States | Education |
| 4 | SET India | Sony Pictures Networks India | India | Entertainment |
| 5 | Kids Diana Show | Eva Diana Kidisyuk | United States | Kids |
| 6 | Like Nastya | Anastasia Radzinskaya | United States | Kids |
| 7 | PewDiePie | Felix Kjellberg | Sweden | Gaming |
| 8 | WWE | WWE, Inc. | United States | Sports |
| 9 | Zee Music Company | Zee Entertainment Enterprises | India | Music |
| 10 | BLACKPINK | YG Entertainment | South Korea | Music |
