# Vehicle registration plates of Nebraska
> County coding

| County | Numeric code | Letter code, 1951 |
| --- | --- | --- |
| Adams | 14 | A |
| Antelope | 26 | AN |
| Arthur | 91 | AR |
| Banner | 85 | B |
| Blaine | 86 | BA |
| Boone | 23 | BN |
| Box Butte | 65 | BX |
| Boyd | 63 | BY |
| Brown | 75 | BR |
| Buffalo | 9 | BU |
| Burt | 31 | BT |
| Butler | 25 | BL |
| Cass | 20 | C |
| Cedar | 13 | CE |
| Chase | 72 | CH |
| Cherry | 66 | CR |
| Cheyenne | 39 | CY |
| Clay | 30 | CL |
| Colfax | 43 | CF |
| Cuming | 24 | CU |
| Custer | 4 | CS |
| Dakota | 70 | D |
| Dawes | 69 | DA |
| Dawson | 18 | DW |
| Deuel | 78 | DE |
| Dixon | 35 | DX |
| Dodge | 5 | DG |
| Douglas | 1 | X |
| Dundy | 76 | DU |
| Fillmore | 34 | F |
| Franklin | 50 | FR |
| Frontier | 60 | FN |
| Furnas | 38 | FU |
| Gage | 3 | G |
| Garden | 77 | GA |
| Garfield | 83 | GR |
| Gosper | 73 | GS |
| Grant | 92 | GN |
| Greeley | 62 | GE |
| Hall | 8 | H |
| Hamilton | 28 | HA |
| Harlan | 51 | HR |
| Hayes | 79 | HY |
| Hitchcock | 67 | HT |
| Holt | 36 | HL |
| Hooker | 93 | HK |
| Howard | 49 | HW |
| Jefferson | 33 | J |
| Johnson | 57 | JH |
| Kearney | 52 | K |
| Keith | 68 | KE |
| Keya Paha | 82 | KY |
| Kimball | 71 | KM |
| Knox | 12 | KN |
| Lancaster | 2 | L |
| Lincoln | 15 | LN |
| Logan | 87 | LG |
| Loup | 88 | LU |
| Madison | 7 | M |
| McPherson | 90 | MC |
| Merrick | 46 | ME |
| Morrill | 64 | MR |
| Nance | 58 | N |
| Nemaha | 44 | NE |
| Nuckolls | 42 | NU |
| Otoe | 11 | Z |
| Pawnee | 54 | P |
| Perkins | 74 | PE |
| Phelps | 37 | PH |
| Pierce | 40 | PR |
| Platte | 10 | PL |
| Polk | 41 | PK |
| Red Willow | 48 | R |
| Richardson | 19 | RC |
| Rock | 81 | RK |
| Saline | 22 | S |
| Sarpy | 59 | SA |
| Saunders | 6 | SU |
| Scotts Bluff | 21 | SC |
| Seward | 16 | SE |
| Sheridan | 61 | SH |
| Sherman | 56 | SR |
| Sioux | 80 | SX |
| Stanton | 53 | ST |
| Thayer | 32 | T |
| Thomas | 89 | TH |
| Thurston | 55 | TU |
| Valley | 47 | V |
| Washington | 29 | W |
| Wayne | 27 | WA |
| Webster | 45 | WE |
| Wheeler | 84 | WH |
| York | 17 | Y |
