# Principal Owners of Selected NBA Franchises (Controlling Stakeholders)

| Team | League | Controlling owner / governor | Ownership entity | Ownership stake (approx.) | Since |
|---|---|---|---|---:|---|
| Boston Celtics | NBA | Wyc Grousbeck | Boston Basketball Partners | 50%+ (control) | 2002 |
| Chicago Bulls | NBA | Jerry Reinsdorf | Reinsdorf family | Majority (control) | 1985 |
| Dallas Mavericks | NBA | Miriam Adelson | Adelson family | Majority (control) | 2023 |
| Golden State Warriors | NBA | Joe Lacob | Golden State Basketball LLC | Majority (control) | 2010 |
| Los Angeles Lakers | NBA | Jeanie Buss | Buss family trust | Majority (control) | 2013 |
| Miami Heat | NBA | Micky Arison | The Arison family | Majority (control) | 1995 |
| Milwaukee Bucks | NBA | Wes Edens | Edens / Haslam ownership group | Co-control | 2014 |
| New York Knicks | NBA | James L. Dolan | Madison Square Garden Sports | Corporate control | 1999 |
| Phoenix Suns | NBA | Mat Ishbia | Ishbia ownership group | Majority (control) | 2023 |
| San Antonio Spurs | NBA | Peter J. Holt | Spurs Sports & Entertainment | Majority (control) | 1993 |
