# List of Xbox 360 accessories
> Storage

| Game | un-movable | movable |
| --- | --- | --- |
| Call of Duty 3 | Saved game | N/A |
| Call of Duty: Modern Warfare 2 | Multi-player (split-screen / system link) saved game | Single-player (campaign) saved game |
| Bejeweled 2 | Saved game | N/A |
| Dead or Alive 4 | Saved game | N/A |
| Dead or Alive Xtreme 2 | Saved game | N/A |
| Forza Motorsport 2 | Local scoreboard data | Saved game, ghosts, settings, photos, vinyl groups and replay |
| Forza Motorsport 3 | Saved game | ghosts, settings, photos, vinyl groups and replay |
| Perfect Dark Zero | Saved game (from the Xbox 360 Dashboard) | Saved game (from the in-game options) and downloaded content |
| Ridge Racer 6 | Downloaded content | Saved game |
| Rock Band 2 | Saved game | N/A |
| The Last Remnant | Saved game | N/A |
| Viva Piñata | Saved game and most other data | N/A |
| Zuma | Saved game | N/A |
