# List of Florida hurricanes ( 1950–74 )
> Deadly storms

| Name | Year | Number of deaths |
| --- | --- | --- |
| Inez | 1966 | 48 (45 offshore ) |
| Donna | 1960 | 13 |
| Agnes | 1972 | 9 |
| Unnamed | 1957 | 5 |
| Betsy | 1965 | 4 |
| King | 1950 | 3 |
| Unnamed | 1974 | 3 |
| Alma | 1966 | 2 (4 indirect) |
| Isbell | 1964 | 2 (1 indirect) |
| Unnamed | 1956 | 2 |
| Dora | 1964 | 1 (2 indirect) |
| Flora | 1963 | 1 |
| Hilda | 1964 | 1 |
| Abby | 1968 | 0 (6 indirect) |
| Flossy | 1956 | 0 (4 indirect) |
| Debbie | 1957 | 0 (4 indirect) |
| Easy | 1950 | 0 (2 indirect) |
| Dora | 1964 | 0 (2 indirect) |
| Brenda | 1960 | 0 ( few indirect) |
