# Fallout  New Vegas Unique Items and Where to Get Them (Collector Notes)

| Unique Item | Type | How to Obtain | Location | Notes |
| --- | --- | --- | --- | --- |
| All-American | Marksman carbine | Found in armory | Vault 34 | Requires navigating irradiated vault |
| Ratslayer | Varmint rifle | Loot from corpse | Broc Flower Cave | Silenced, night-vision scope |
| Maria | 9mm pistol | Taken from Benny | The Tops Casino | Typically after confronting Benny |
| This Machine | Battle rifle | Quest reward | Camp McCarran | Help with "Dealing with Contreras" |
| Lucky | .357 revolver | Lockpick safe | Primm | Requires high Lockpick |
| Pew Pew | Laser pistol | Turn in star caps | Sunset Sarsaparilla HQ | Requires many star bottle caps |
| Oh, Baby! | Super sledge | Found on shelf | Charleston Cave | High damage melee |
| Christine's COS Silencer Rifle | Sniper rifle | DLC reward | Dead Money (Sierra Madre) | DLC-only |
| Industrial Hand | Unarmed | DLC loot | Lonesome Road | DLC-only |
| YCS/186 | Gauss rifle | Found at wreck | Near Horowitz Farmstead | Wild Wasteland affects availability |
