# PH indicator
> Application

| Indicator | Low pH color | Transition low end | Transition high end | High pH color |
| --- | --- | --- | --- | --- |
| Gentian violet ( Methyl violet 10B ) | yellow | 0.0 | 2.0 | blue-violet |
| Malachite green (first transition) | yellow | 0.0 | 2.0 | green |
| Malachite green (second transition) | green | 11.6 | 14.0 | colorless |
| Thymol blue (first transition) | red | 1.2 | 2.8 | yellow |
| Thymol blue (second transition) | yellow | 8.0 | 9.6 | blue |
| Methyl yellow | red | 2.9 | 4.0 | yellow |
| Bromophenol blue | yellow | 3.0 | 4.6 | blue |
| Congo red | blue-violet | 3.0 | 5.0 | red |
| Methyl orange | red | 3.1 | 4.4 | yellow |
| Screened methyl orange (first transition) | red | 0.0 | 3.2 | grey |
| Screened methyl orange (second transition) | grey | 3.2 | 4.2 | green |
| Bromocresol green | yellow | 3.8 | 5.4 | blue |
| Methyl red | red | 4.4 | 6.2 | yellow |
| Methyl purple | purple | 4.8 | 5.4 | green |
| Azolitmin | red | 4.5 | 8.3 | blue |
| Bromocresol purple | yellow | 5.2 | 6.8 | purple |
| Bromothymol blue | yellow | 6.0 | 7.6 | blue |
| Phenol red | yellow | 6.4 | 8.0 | red |
| Neutral red | red | 6.8 | 8.0 | yellow |
| Naphtholphthalein | pale red | 7.3 | 8.7 | greenish-blue |
| Cresol red | yellow | 7.2 | 8.8 | reddish-purple |
| Cresolphthalein | colorless | 8.2 | 9.8 | purple |
| Phenolphthalein | colorless | 8.3 | 10.0 | purple-pink |
| Thymolphthalein | colorless | 9.3 | 10.5 | blue |
| Alizarine Yellow R | yellow | 10.2 | 12.0 | red |
| Indigo carmine | blue | 11.4 | 13.0 | yellow |
