# GCSE Chemistry and A level Chemistry — topic coverage outline (not subject availability)

| Topic | GCSE Chemistry coverage | A level Chemistry coverage | Example subtopics |
| --- | --- | --- | --- |
| Atomic structure | Yes | Yes | Isotopes, electron configuration |
| Amount of substance | Limited | Yes | Moles, empirical formula |
| Bonding | Yes | Yes (deeper) | Ionic/covalent/metallic, intermolecular forces |
| Energetics | Yes | Yes | Enthalpy changes, Hess cycles |
| Kinetics | Intro | Yes | Rate equations, catalysts |
| Equilibria | Intro | Yes | Kc, Le Chatelier, buffers |
| Redox | Basic | Advanced | Electrode potentials |
| Organic chemistry | Basic | Extensive | Mechanisms, synthesis |
| Analysis | Yes | Yes | Chromatography, NMR, IR |
| Practical skills | Required | Required (more advanced) | Titration, uncertainty |
| Periodicity | Brief | Yes | Trends, Group 2/7 chemistry |
