# Major Nazi Camps (Concentration, Labor, and Extermination) — Overview List

| Camp | Present-day country | Primary function | Notable detail |
| --- | --- | --- | --- |
| Auschwitz-Birkenau | Poland | Extermination & forced labor | Combined camp complex with gas chambers at Birkenau |
| Treblinka II | Poland | Extermination | Operation Reinhard killing center |
| Sobibor | Poland | Extermination | Prisoner revolt in 1943 |
| Belzec | Poland | Extermination | Operation Reinhard killing center |
| Chelmno (Kulmhof) | Poland | Extermination | Mobile gas vans used |
| Majdanek (Lublin) | Poland | Concentration & extermination | Large prisoner population; mass shootings |
| Dachau | Germany | Concentration / forced labor | Early model camp system |
| Buchenwald | Germany | Concentration / forced labor | Large forced-labor network |
| Mauthausen-Gusen | Austria | Concentration / forced labor | Quarry labor; high mortality |
| Bergen-Belsen | Germany | Concentration / holding camp | Liberation in 1945 revealed catastrophe |
