# Xbox 360 Titles by Franchise (Each Row Is a Game, Platform Explicit)

| Franchise | Game Title | Platform | Notes |
|---|---|---|---|
| Batman: Arkham | Batman: Arkham Asylum (GOTY Edition) | Xbox 360 | Game of the Year edition |
| Batman: Arkham | Batman: Arkham City | Xbox 360 | Main series entry |
| Call of Duty | Call of Duty 2 | Xbox 360 | Launch-era entry |
| Call of Duty | Call of Duty 3 | Xbox 360 | Main series entry |
| Call of Duty | Call of Duty: Black Ops | Xbox 360 | Main series entry |
| Assassin's Creed | Assassin's Creed | Xbox 360 | Main series entry |
| Assassin's Creed | Assassin's Creed II | Xbox 360 | Sequel |
| Fantasy RPG | The Elder Scrolls IV: Oblivion | Xbox 360 | Open-world RPG |
| Fighting | Darkstalkers Resurrection | Xbox 360 | HD re-release |
| Racing | Forza Motorsport 2 | Xbox 360 | First-party racing |
| Shooter | Halo 3 | Xbox 360 | First-party shooter |
| Shooter | Gears of War | Xbox 360 | First-party shooter |
