# Riverview Secondary School Term Dates 2016–2017 (Key Start Dates Only)

| Period | Date |
| --- | --- |
| Autumn Term begins | Monday, 5 September 2016 |
| Autumn Half-Term starts | Monday, 24 October 2016 |
| Autumn Term ends | Friday, 16 December 2016 |
| Spring Term begins | Tuesday, 3 January 2017 |
| Spring Half-Term starts | Monday, 13 February 2017 |
| Spring Term ends | Friday, 31 March 2017 |
| Summer Term begins | Monday, 17 April 2017 |
| Summer Half-Term starts | Monday, 29 May 2017 |
| Summer Term ends | Friday, 21 July 2017 |
