# Top Chess Players by World Championship Titles

| Rank | Player | Country | World Championship Titles | Years Held |
|---:|---|---|---:|---|
| 1 | Garry Kasparov | Russia | 6 | 1985–2000 |
| 2 | Anatoly Karpov | Russia | 3 | 1975–1985 |
| 3 | Magnus Carlsen | Norway | 5 | 2013–2023 |
| 4 | Viswanathan Anand | India | 5 | 2007–2013 |
| 5 | Mikhail Botvinnik | USSR | 3 | 1948–1963 |
| 6 | Vladimir Kramnik | Russia | 1 | 2000–2007 |
| 7 | Bobby Fischer | USA | 1 | 1972–1975 |
| 8 | Jose Raul Capablanca | Cuba | 1 | 1921–1927 |
| 9 | Alexander Alekhine | France | 2 | 1927–1946 |
| 10 | Emanuel Lasker | Germany | 1 | 1894–1921 |
