# Landlocked sovereign states in Africa (no direct access to the open ocean)

| Region | Country | Notes on landlocked status |
| --- | --- | --- |
| Africa | Botswana | Landlocked; surrounded by southern African states; no coastline |
| Africa | Burkina Faso | Landlocked; entirely inland in West Africa |
| Africa | Burundi | Landlocked; inland Great Lakes region |
| Africa | Central African Republic | Landlocked; no maritime border |
| Africa | Chad | Landlocked; inland Sahel state |
| Africa | Eswatini | Landlocked; enclosed by South Africa and Mozambique |
| Africa | Ethiopia | Landlocked since 1993; no direct ocean access |
| Africa | Lesotho | Landlocked enclave within South Africa |
| Africa | Malawi | Landlocked; has Lake Malawi but no ocean coastline |
| Africa | Mali | Landlocked; inland West Africa |
| Africa | Niger | Landlocked; inland Sahel state |
| Africa | Rwanda | Landlocked; inland Great Lakes region |
| Africa | South Sudan | Landlocked; no coastline |
| Africa | Uganda | Landlocked; inland Great Lakes region |
| Africa | Zambia | Landlocked; no coastline |
| Africa | Zimbabwe | Landlocked; entirely inland in Southern Africa |
