# 2007 NASCAR Craftsman Truck Series
> Schedule

| No. | Race title | Track | Date |
| --- | --- | --- | --- |
| 1 | Chevy Silverado HD 250 | Daytona International Speedway , Daytona Beach | February 16 |
| 2 | San Bernardino County 200 | Auto Club Speedway , Fontana | February 23 |
| 3 | American Commercial Lines 200 | Atlanta Motor Speedway , Hampton | March 16 |
| 4 | Kroger 250 | Martinsville Speedway , Martinsville | March 31 |
| 5 | O'Reilly Auto Parts 250 | Kansas Speedway , Kansas City | April 28 |
| 6 | Quaker Steak and Lube 200 | Lowe's Motor Speedway , Concord | May 18 |
| 7 | City of Mansfield 250 | Mansfield Motorsports Park , Mansfield | May 26 |
| 8 | AAA Insurance 200 | Dover International Speedway , Dover | June 1 |
| 9 | Sam's Town 400 | Texas Motor Speedway , Fort Worth | June 8 |
| 10 | Michigan 200 | Michigan International Speedway , Brooklyn | June 16 |
| 11 | Toyota Tundra Milwaukee 200 | Milwaukee Mile , West Allis | June 22 |
| 12 | O'Reilly 200 | Memphis Motorsports Park , Millington | June 30 |
| 13 | Built Ford Tough 225 | Kentucky Speedway , Sparta | July 14 |
| 14 | Power Stroke Diesel 200 | O'Reilly Raceway Park at Indianapolis , Brownsburg | July 27 |
| 15 | Toyota Tundra 200 | Nashville Superspeedway , Lebanon | August 11 |
| 16 | O'Reilly Auto Parts 200 | Bristol Motor Speedway , Bristol | August 22 |
| 17 | Missouri/Illinois Dodge Dealers Ram Tough 200 | Gateway International Raceway , Madison | September 1 |
| 18 | New Hampshire 200 | New Hampshire International Speedway , Loudon | September 15 |
| 19 | Smith's Las Vegas 350 | Las Vegas Motor Speedway , Las Vegas | September 22 |
| 20 | Mountain Dew 250 | Talladega Superspeedway , Talladega | October 6 |
| 21 | Kroger 200 | Martinsville Speedway , Martinsville | October 20 |
| 22 | EasyCare Vehicle Service Contracts 200 | Atlanta Motor Speedway , Hampton | October 27 |
| 23 | Silverado 350K | Texas Motor Speedway , Fort Worth | November 2 |
| 24 | Phoenix 150 | Phoenix International Raceway , Avondale | November 9 |
| 25 | Ford 200 | Homestead-Miami Speedway , Homestead | November 16 |
