# pH of Bottled Water by Category (Brands and Reference Water Types)

| Category | Brand / Type | Source / Style | Measured pH (approx.) |
| --- | --- | --- | --- |
| Purified | Nestlé Pure Life | Purified | 6.2 |
| Purified | Arrowhead | Spring | 6.7 |
| Purified | LIFEWTR | Purified | 6.5 |
| Purified | Reverse Osmosis (generic) | RO-purified water (no minerals added) | 5.5 |
| Enhanced / Electrolytes | Propel (flavored fitness water) | Enhanced water with acids/flavorings | 3.4 |
| Enhanced / Electrolytes | Vitaminwater (typical) | Enhanced/flavored | 4.0 |
| Enhanced / Alkaline | Alkaline88 | Purified, alkaline-enhanced | 8.8 |
| Enhanced / Alkaline | Bai Antioxidant Water (typical) | Enhanced/flavored | 3.2 |
| Natural Spring | Evian | Natural spring (France) | 7.0 |
| Natural Spring | Deer Park | Natural spring (USA) | 6.4 |
| Mineral (still) | Gerolsteiner | Mineral water (Germany) | 5.9 |
| Mineral (carbonated) | Topo Chico | Carbonated mineral water | 5.0 |
| Mineral (carbonated) | Perrier | Carbonated mineral water | 5.4 |
