# Selected Inorganic Ligands Grouped by Charge Class (Formula and Abbreviation)

| Charge class | Ligand (name) | Abbrev. | Ligand species / formula | Net ligand charge |
|---|---|---|---|---:|
| Neutral | Ammine | NH3 | NH3 | 0 |
| Neutral | Aqua | H2O | H2O | 0 |
| Neutral | Carbonyl | CO | CO | 0 |
| Neutral | Dinitrogen | N2 | N2 | 0 |
| Neutral | Nitrosyl (neutral form) | NO | NO | 0 |
| Anionic (−1) | Hydroxido | OH− | OH− | −1 |
| Anionic (−1) | Fluorido | F− | F− | −1 |
| Anionic (−1) | Cyanido | CN− | CN− | −1 |
| Anionic (−1) | Azido | N3− | N3− | −1 |
| Anionic (−1) | Hydrosulfido | HS− | HS− | −1 |
| Anionic (−2) | Oxido | O2− | O2− | −2 |
| Anionic (−2) | Sulfido | S2− | S2− | −2 |
| Anionic (−2) | Carbonato | CO3^2− | CO3^2− | −2 |
| Cationic (+1) | Nitrosyl (linear) | NO+ | NO+ | +1 |
| Cationic (+1) | Nitrosonium (same ligand class) | NO+ | NO+ | +1 |
