# Most-Subscribed YouTube Channels by Category (Ranked by Subscribers, Jan 2026)

| Category | Rank in Category | Channel | Subscribers (millions) |
|---|---:|---|---:|
| Music | 1 | T-Series | 270.5 |
| Music | 2 | Blackpink | 95.4 |
| Music | 3 | Zee Music Company | 102.6 |
| Entertainment | 1 | MrBeast | 245.2 |
| Entertainment | 2 | WWE | 103.1 |
| Kids | 1 | Cocomelon - Nursery Rhymes | 186.7 |
| Kids | 2 | Kids Diana Show | 127.4 |
| Kids | 3 | Like Nastya | 120.8 |
| Kids | 4 | Vlad and Niki | 101.9 |
| TV | 1 | SET India | 179.9 |
| TV | 2 | Sony SAB | 93.8 |
| How-to & Style | 1 | 5-Minute Crafts | 81.3 |
