# Jack Crawford ( tennis )
> Grand Slam tournament finals

| Outcome | Year | Championship | Surface | Partner | Opponents | Score |
| --- | --- | --- | --- | --- | --- | --- |
| Winner | 1929 | Australian Championships | Grass | Harry Hopman | Jack Cummings Edgar Moon | 6–1, 6–8, 4–6, 6–1, 6–3 |
| Winner | 1930 | Australian Championships | Grass | Harry Hopman | Tim Fitchett John Hawkes | 8–6, 6–1, 2–6, 6–3 |
| Runner-up | 1931 | Australian Championships | Grass | Harry Hopman | James Anderson Norman Brookes | 2–6, 4–6, 3–6 |
| Winner | 1932 | Australian Championships | Grass | Edgar Moon | Harry Hopman Gerald Patterson | 12–10, 6–3, 4–6, 6–4 |
| Runner-up | 1933 | Australian Championships | Grass | Edgar Moon | Keith Gledhill Ellsworth Vines | 4–6, 8–10, 2–6 |
| Runner-up | 1934 | French Championships | Grass | Vivian McGrath | Jean Borotra Jacques Brugnon | 9–11, 3–6, 6–2, 6–4, 7–9 |
| Winner | 1935 | Australian Championships | Grass | Vivian McGrath | Patrick Hughes Fred Perry | 6–4, 8–6, 6–2 |
| Winner | 1935 | French Championships | Clay | Adrian Quist | Donald Turnbull Vivian McGrath | 6–1, 6–4, 6–2 |
| Winner | 1935 | Wimbledon Championships | Grass | Adrian Quist | Wilmer Allison John Van Ryn | 6–3, 5–7, 6–2, 5–7, 7–5 |
| Runner-up | 1936 | Australian Championships | Grass | Vivian McGrath | Adrian Quist Donald Turnbull | 8–6, 2–6, 1–6, 6–3, 2–6 |
| Runner-up | 1939 | US Championships | Grass | Harry Hopman | Adrian Quist John Bromwich | 6–8, 1–6, 4–6 |
| Runner-up | 1940 | Australian Championships | Grass | Vivian McGrath | John Bromwich Adrian Quist | 3–5, 5–7, 1–6 |
