# Megas doux
> List of known holders

| Name | Tenure | Emperor(s) | Notes | Refs |
| --- | --- | --- | --- | --- |
| John Doukas | 1092 – unknown | Alexios I Komnenos | Brother-in-law of Alexios I, previously governor of Dyrrhachium | [1] |
| Landulf | 1099–1105 | Alexios I Komnenos | Admiral of Western origin | [14] [15] |
| Isaac Kontostephanos | 1105–1108 | Alexios I Komnenos | Dismissed for his incompetence in the wars against Bohemond | [14] [16] |
| Marianos Maurokatakalon | 1108 – unknown | Alexios I Komnenos | Successor of Isaac Konstostephanos | [14] [17] |
| Eumathios Philokales | after 1112 – after 1118 | Alexios I Komnenos | previously judicial official in Greece and long-time governor of Cyprus | [18] [19] |
| Constantine Opos | Unknown | Alexios I Komnenos | Distinguished general in the campaigns against the Turks | [20] |
| Leo Nikerites | Unknown | Alexios I Komnenos | Eunuch, previously governor in Bulgaria and the Peloponnese | [20] |
| Nikephoros Vatatzes | Unknown | Alexios I Komnenos (?) | Known only through a seal, possibly dating to the reign of Alexios I | [20] |
| Stephen Kontostephanos | ca. 1145 (?) – 1149 | Manuel I Komnenos | Brother-in-law of Manuel I, was killed in office in 1149 | [21] |
| Alexios Komnenos | ca. 1155 – after 1161 | Manuel I Komnenos | Son of Anna Komnene and Nikephoros Bryennios the Younger | [20] |
| Andronikos Kontostephanos | after 1161 – 1182 | Manuel I Komnenos | Manuel's nephew, he was the emperor's most trusted and distinguished general. Blinded by Andronikos I Komnenos in 1182 | [22] |
| John Komnenos | Unknown | Manuel I Komnenos | First cousin of Manuel I, son of the sebastokrator Andronikos Komnenos. He fell at Myriokephalon in 1176 | [21] |
| Constantine Angelos | Unknown | Isaac II Angelos | Afterwards governor of Philippopolis , he led an unsuccessful usurpation attempt | [23] |
| Michael Stryphnos | ca. 1195 – after 1201/1202 | Alexios III Angelos | A favourite of Alexios III. He reportedly sold off the fleet's equipment to enrich himself | [24] |
| Theodotos Phokas | ca. 1210 | Theodore I Laskaris | Uncle of Theodore I, emperor of Nicaea , known only from a monastic property deed dating to between 1206 and 1212 | [25] |
| Michael Palaiologos | 1258 | John IV Laskaris | The future Michael VIII, he assumed the office after the murder of George Mouzalon , when he was named regent for the young John IV. He was soon after raised to despotes and eventually to emperor. | [25] |
| Michael Laskaris | 1259 – ca. 1272 | Michael VIII Palaiologos | Brother of Theodore I, due to his advanced age he never held actual command of the fleet. He held the office until his death | [26] |
| Alexios Doukas Philanthropenos | ca. 1272 – ca. 1275 | Michael VIII Palaiologos | Previously protostrator and de facto commander of the fleet since ca. 1263. Held the office of megas doux until his death | [27] |
| Licario | ca. 1275 – unknown | Michael VIII Palaiologos | Italian renegade who entered Byzantine service, he conquered Negroponte and many of the Aegean islands | [28] |
| John de lo Cavo | after 1278 | Michael VIII Palaiologos | Genoese privateer who entered Byzantine service, lord of Anafi and Rhodes. | [29] [30] |
| Roger de Flor | 1303–1304 | Andronikos II Palaiologos | Leader of the mercenary Catalan Company . He resigned his post in late 1304 favour of his lieutenant, Berenguer de Entença , and was murdered a few months later | [28] |
| Berenguer de Entença | 1304–1305 | Andronikos II Palaiologos | Roger de Flor's lieutenant and successor as leader of the mercenary Catalan Company . He resigned his office after disagreeing with the emperor | [31] [32] |
| Fernand Ximenes de Arenos | 1307/1308 – unknown | Andronikos II Palaiologos | One of the leaders of the Catalan Company , he was named megas doux defected to the Byzantines | [33] [34] |
| Syrgiannes Palaiologos | 1321–1322 | Andronikos II Palaiologos | One of the main partisans of the young Andronikos III Palaiologos in the Byzantine civil war of 1321–1328 , he defected to the aged Andronikos II, who rewarded him with the office of megas doux . After plotting against him as well, he was imprisoned. | [33] [35] [36] |
| Isaac Asanes | unknown – 1341 | Andronikos III Palaiologos | Replaced in office by Alexios Apokaukos | [33] |
| Alexios Apokaukos | 1341–1345 | Andronikos III Palaiologos John V Palaiologos | A former partisan and protégé of John Kantakouzenos , Apokaukos was instrumental in the outbreak of the Byzantine civil war of 1341–1347 , and until his murder in 1345 led the anti-Kantakouzenist regency for John V | [33] [37] |
| Asomatianos Tzamplakon | ca. 1348 | John VI Kantakouzenos | Head of the fleet during the Byzantine–Genoese War of 1348–1349 . He died some time before 1356 | [33] [38] |
| [Paul?] Mamonas | early 15th century | Manuel II Palaiologos | The Mamonas family were hereditary rulers of Monemvasia | [39] |
| Manuel | unknown – 1410 | Manuel II Palaiologos | Mentioned only in an anonymous chronicle as dying of an epidemic in 1410 | [39] |
| Paraspondelos | ca. 1437 | John VIII Palaiologos | Known only as the father-in-law of Demetrios Palaiologos | [39] |
| Loukas Notaras | after 1441 – 1453 | John VIII Palaiologos Constantine XI Palaiologos | Notaras served both John VIII and Constantine XI as chief minister, and was executed by the Ottomans after the Fall of Constantinople | [39] |
