# Hungarian Chess Championship
> Crosstables

|  | Player | Rating | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 0 | Points | TB | Perf. | +/- |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 1 | Yelena Dembo ( HUN ) | 2390 | * | 0 | 1 | 1 | 1 | 1 | 1 | 1 | ½ | 1 | 7½ |  | 2568 | +18 |
| 2 | Nora Medvegy ( HUN ) | 2354 | 1 | * | ½ | ½ | ½ | ½ | 1 | 1 | 1 | 1 | 7 |  | 2510 | +18 |
| 3 | Szidonia Vajda ( HUN ) | 2403 | 0 | ½ | * | ½ | ½ | 1 | ½ | ½ | 1 | 1 | 5½ |  | 2367 | -4 |
| 4 | Anita Gara ( HUN ) | 2352 | 0 | ½ | ½ | * | ½ | ½ | ½ | 1 | 1 | ½ | 5 |  | 2332 | -2 |
| 5 | Nikoletta Lakos ( HUN ) | 2372 | 0 | ½ | ½ | ½ | * | ½ | 0 | 1 | 1 | ½ | 4½ | 16.75 | 2291 | -10 |
| 6 | Melinda Goczo ( HUN ) | 2262 | 0 | ½ | 0 | ½ | ½ | * | 1 | ½ | ½ | 1 | 4½ | 16.75 | 2303 | +5 |
| 7 | Ticia Gara ( HUN ) | 2249 | 0 | 0 | ½ | ½ | 1 | 0 | * | 1 | 1 | ½ | 4½ | 15.50 | 2304 | +7 |
| 8 | Maria Ignacz ( HUN ) | 2191 | 0 | 0 | ½ | 0 | 0 | ½ | 0 | * | 1 | 1 | 3 |  | 2191 | -1 |
| 9 | Lili Toth ( HUN ) | 2196 | ½ | 0 | 0 | 0 | 0 | ½ | 0 | 0 | * | 1 | 2 |  | 2093 | -11 |
| 10 | Anna Rudolf ( HUN ) | 2222 | 0 | 0 | 0 | ½ | ½ | 0 | ½ | 0 | 0 | * | 1½ |  | 2029 | -20 |
