# Spring Wire Steels and Stainless Grades — Typical Chemical Composition Ranges

| Material/Standard | C (%) | Si (%) | Mn (%) | Cr (%) | Ni (%) | Mo (%) | V (%) | Notes |
| --- | ---: | ---: | ---: | ---: | ---: | ---: | ---: | --- |
| ASTM A228 Music Wire (high-carbon) | 0.70–1.00 | 0.10–0.30 | 0.20–0.60 | ≤0.20 | ≤0.25 | — | — | General-purpose spring wire |
| ASTM A229 Oil-Tempered Wire | 0.55–0.75 | 0.15–0.35 | 0.60–0.90 | ≤0.25 | ≤0.25 | — | — | Better fatigue than low-carbon |
| ASTM A401 Cr–Si Spring Steel | 0.50–0.60 | 1.20–1.60 | 0.60–0.90 | 0.60–0.80 | ≤0.25 | — | — | Higher temperature capability |
| ASTM A231 Cr–V Spring Steel | 0.45–0.55 | 0.15–0.35 | 0.60–0.90 | 0.80–1.10 | ≤0.30 | — | 0.10–0.20 | Improved fatigue resistance |
| AISI 302 Stainless Spring Wire | 0.08–0.15 | ≤1.00 | ≤2.00 | 17.0–19.0 | 8.0–10.0 | — | — | Corrosion resistant |
| AISI 316 Stainless Spring Wire | ≤0.08 | ≤1.00 | ≤2.00 | 16.0–18.0 | 10.0–14.0 | 2.0–3.0 | — | Better chloride resistance |
| AISI 17-7PH Stainless | ≤0.09 | ≤1.00 | ≤1.00 | 16.0–18.0 | 6.5–7.8 | ≤0.75 | — | Precipitation hardening |
| Beryllium Copper C17200 | ≤0.15 | ≤0.15 | ≤0.15 | — | — | — | — | Be 1.80–2.00%, Co/Ni additions (typ.) |
| Phosphor Bronze C51000 | — | — | — | — | — | — | — | Sn 4.2–5.8%, P 0.03–0.35% |
| Titanium Grade 5 (Ti-6Al-4V) | — | — | — | — | — | — | — | Al 5.5–6.75%, V 3.5–4.5% |
