# 2024 U.S. Federal Poverty Guidelines (48 Contiguous States & D.C.) — Annual Amounts by Household Size

| Household size | 100% FPL (annual) | 138% FPL (annual) | 150% FPL (annual) |
|---:|---:|---:|---:|
| 1 | $15,060 | $20,783 | $22,590 |
| 2 | $20,440 | $28,207 | $30,660 |
| 3 | $25,820 | $35,632 | $38,730 |
| 4 | $31,200 | $43,056 | $46,800 |
| 5 | $36,580 | $50,480 | $54,870 |
| 6 | $41,960 | $57,905 | $62,940 |
| 7 | $47,340 | $65,329 | $71,010 |
| 8 | $52,720 | $72,754 | $79,080 |
| Each additional person | +$5,380 | +$7,424 | +$8,070 |
