# Climate Snapshot — Albuquerque, New Mexico (USA)   Typical Annual Conditions

| Climate indicator | Average / Typical value | Units |
| --- | --- | --- |
| Typical summer high (daytime) | 91 | °F |
| Typical winter high (daytime) | 49 | °F |
| Typical summer low (nighttime) | 64 | °F |
| Typical winter low (nighttime) | 26 | °F |
| Mean annual temperature | 57 | °F |
| Average annual precipitation | 9.5 | in |
| Average annual snowfall | 11 | in |
| Average number of wet days (≥0.01 in) | 50 | days/year |
| Typical annual temperature range (summer high − winter low) | 65 | °F |
| Approx. annual sunshine | 3,400 | hours/year |
