# State Government Departments Hiring Diploma Holders — Employer-to-Post Mapping

| State / Employer (Department/Board) | Specific Post Name | Diploma Background (Typical) | Work Domain | Hiring Channel (Common) |
| --- | --- | --- | --- | --- |
| Public Health Engineering Department (PHED), Rajasthan | Junior Engineer (Water Supply) | Civil / Mechanical Diploma | Water supply & sanitation | State JE Exam |
| Irrigation & Water Resources Department, Uttar Pradesh | Junior Engineer (Civil) | Civil Diploma | Canals / irrigation works | State recruitment board |
| Public Works Department (PWD), Maharashtra | Junior Engineer (Civil) | Civil Diploma | Roads & buildings | State service selection |
| State Electricity Distribution Company (DISCOM), Haryana | Junior Engineer (Electrical) | Electrical Diploma | Power distribution | Utility recruitment test |
| Karnataka State Road Transport Corporation (KSRTC) | Assistant Workshop Superintendent | Mechanical/Automobile Diploma | Fleet maintenance | Written test + interview |
| Delhi Jal Board (DJB) | Junior Engineer (Mechanical) | Mechanical Diploma | Pumps & treatment plants | Departmental/board exam |
| Tamil Nadu Highways Department | Junior Draughting Officer | Civil Diploma (Drafting) | Highway design/drafting | Skill test + written |
| Gujarat Water Supply & Sewerage Board (GWSSB) | Technical Assistant (Civil) | Civil Diploma | Field inspection & QA | Board recruitment |
| Kerala State Housing Board | Overseer (Civil) | Civil Diploma | Housing construction supervision | Written test |
| Punjab State Transmission Corporation (PSTCL) | Junior Engineer (Substation) | Electrical Diploma | Transmission operations | Utility recruitment |
| West Bengal Public Health Engineering Department | Sub-Assistant Engineer (Civil) | Civil Diploma | Public health engineering | State commission/board |
| Assam Public Works (Roads) Department | Junior Engineer (Roads) | Civil Diploma | Road works execution | State JE recruitment |
