# Transgender and non-binary characters in screen media (focused list)

| Character | Screen media | Format | Gender-diverse identity | Portrayal focus |
| --- | --- | --- | --- | --- |
| Elektra Abundance | Pose | TV series | Transgender woman | Ballroom icon; power, respectability, and community leadership |
| Candy Ferocity | Pose | TV series | Transgender woman | Highlights violence against trans women and community response |
| Ms. Majors | The L Word: Generation Q | TV series | Transgender woman | Recurring role; trans experience included in ensemble narrative |
| Cole | The L Word: Generation Q | TV series | Transgender man | Dating and masculinity read through trans lens |
| Max Sweeney | The L Word | TV series | Transgender man | Transition storyline; community tensions shown |
| Unique Adams | Glee | TV series | Transgender girl / gender-nonconforming teen | School bullying and affirmation arcs |
| Jerrie Kennedy | Shrill | TV series | Gender-nonconforming / trans representation | Uses androgynous presentation; identity discussed in-story |
| Trevor | Shameless (US) | TV series | Transgender boy | Teenage transition and family acceptance themes |
| Denise Bryson | Twin Peaks | TV series | Transgender woman | Early trans TV character; identity stated in dialogue |
| Kenji Miyashiro (Kiku) | The Terror: Infamy | TV series | Two-spirit (gender-diverse) | Cultural framing of gender diversity emphasized |
| Desiree | Desiree Akhavan's The Bisexual (guest example) | TV series | Non-binary (example role) | Non-binary identity referenced; pronouns matter in scenes |
| Pidge (Katie Holt) | Voltron: Legendary Defender | TV animated series | Non-binary (creator-confirmed) | Non-binary interpretation/confirmation outside main plot |
| Raine Whispers | The Owl House | TV animated series | Non-binary | They/them; recurring character with romantic subplot |
| Double Trouble | She-Ra and the Princesses of Power | TV animated series | Non-binary | Explicitly uses they/them; shapeshifting tied to gender expression |
| Lev | The Last of Us Part II (adaptation context) | TV/Screen adaptation | Transgender boy | Trans identity drives conflict and survival choices |
| Lara (Toby's sister) | The Danish Girl (support role example) | Film | Trans-adjacent narrative context | Film centers on trans experience; supporting roles orbit transition |
| Bernadette | Priscilla, Queen of the Desert | Film | Transgender woman | Adult trans woman in road-movie; identity central to character |
| Sin-Dee Rella | Tangerine | Film | Transgender woman | Trans sex worker protagonist; daily life and relationships |
| Alexandra | Tangerine | Film | Transgender woman | Friendship and aspiration portrayed within trans community |
| Marina Vidal | A Fantastic Woman | Film | Transgender woman | Grief and institutional discrimination after partner’s death |
| Sabine (Sabina) | Ma vie en rose (My Life in Pink) | Film | Gender-nonconforming child | Childhood gender expression and family acceptance |
