# Cooked & Ready-to-Eat Foods  Safe-and-Good Storage Durations in Fridge vs Freezer

| Meal Type | Prepared Food (already cooked/ready to eat) | Refrigerator Window | Freezer Window | Practical Tip |
| --- | --- | --- | --- | --- |
| Casseroles & Bakes | Cooked lasagna / baked pasta casserole | 3–5 days | 2–3 months | Slice before freezing for faster thawing |
| Rice-Based Dishes | Cooked fried rice | 3–4 days | 1–2 months | Chill within 2 hours; reheat thoroughly |
| Meat Dishes | Cooked meatballs (with or without sauce) | 3–4 days | 2–3 months | Freeze on tray, then bag |
| Poultry Dishes | Cooked chicken curry | 3–4 days | 2–3 months | Sauce helps prevent freezer burn |
| Bean/Legume Dishes | Cooked lentil stew | 3–5 days | 3 months | Portion into single-meal containers |
| Sandwich Fillings | Egg salad (prepared) | 3–5 days | Not recommended | Freezing changes texture |
| Sandwich Fillings | Tuna salad (prepared) | 3–5 days | Not recommended | Mayo-based salads don’t freeze well |
| Breakfast Items | Cooked omelet or scrambled eggs | 3–4 days | 2–3 months | Best frozen as breakfast burritos |
| Desserts | Baked cookies (fully baked) | 5–7 days | 6–12 months | Freeze in layers with parchment |
| Desserts | Cheesecake (baked) | 5–7 days | 1–2 months | Wrap tightly to prevent odor pickup |
