# List of Sailor Moon episodes
> Episode list

| No. | Original Japanese [8] and Viz [9] titles | Director | Writer | Art director(s) | Animation director(s) | Original airdate |
| --- | --- | --- | --- | --- | --- | --- |
| 167 | "The Flower of Nightmares Scatters: The Queen of Darkness Returns" "Akumu hana wo chirasu toki! Yami no Joō fukkatsu" (悪夢花を散らす時!闇の女王復活) | Takuya Igarashi | Ryōta Yamaguchi | Kenichi Tajiri | Katsumi Tamegai | March 9, 1996 |
| 168 | "Saturn Awakens: The Ten Sailor Guardians Unite" "Satān no mezame! Sērā jũ Senshi shūketsu" (サターンの目覚め!S10戦士集結) | Harume Kosaka | Genki Yoshimura | Kenichi Tajiri | Shigetaka Kiyoyama | March 23, 1996 |
| 169 | "The Cursed Mirror: Mamoru Caught in a Nightmare" "Noroi no makyō! Akumu ni torawareta Mamoru" (呪いの魔鏡!悪夢にとらわれた衛) | Noriyo Sasaki | Genki Yoshimura | Minoru Ōkōchi | Minako Itō | April 13, 1996 |
| 170 | "Night of Destiny: Ordeals of a Guardian" "Unmei no ichiya! Sērā Senshi no kunan" (運命の一夜!セーラー戦士の苦難) | Yuji Endo | Ryōta Yamaguchi | Kazuyuki Hashimoto | Masahiro Andō | April 20, 1996 |
| 171 | "For Love: the Endless Battle in the Dark World" "Ai yue ni! Hateshinaki makai no tatakai" (愛ゆえに!果てしなき魔界の戦い) | Hiroki Shibata | Ryōta Yamaguchi | Kenichi Tajiri | Takayuki Gorai | April 27, 1996 |
| 172 | "Moon Power of Love: End of the Nightmare" "Ai no mūn pawā! Akumu no owaru toki" (愛のムーンパワー!悪夢の終わる時) | Junichi Sato | Ryōta Yamaguchi | Kenichi Tajiri | Miho Shimogasa | May 4, 1996 |
| 173 | "Farewells and Encounters: the Transitioning Stars of Destiny" "Wakare to deai! Unmei no hoshiboshi no ryūten" (別れと出会い!運命の星々の流転) | Takuya Igarashi | Ryōta Yamaguchi | Kenichi Tajiri | Yoshihiro Kitano | May 11, 1996 |
| 174 | "A School Storm: The Transfer Students Are Idols" "Gakuen ni fuku arashi! Tenkōsei wa aidoru" (学園に吹く嵐!転校生はアイドル) | Harume Kosaka | Kazuhiko Kanbe | Kenichi Tajiri | Minako Itō | May 18, 1996 |
| 175 | "Becoming an Idol: Minako’s Ambition" "Aidoru wo mezase! Minako no yabō" (アイドルをめざせ!美奈子の野望) | Yuji Endo | Atsushi Maekawa | Kazuyuki Hashimoto | Takayuki Gorai | May 25, 1996 |
| 176 | "A Fighter's True Spirit: Shocking Super Transformation" "Faitā no shōtai! Shōgeki no chōhenshin" (ファイターの正体!衝撃の超変身) | Noriyo Sasaki | Ryōta Yamaguchi | Kazuhisa Asai | Miho Shimogasa | June 8, 1996 |
| 177 | "A Maker's True Spirit: Shocking Super Transformation" "Hoshi ni takusu yume to roman! Taiki no henshin" (星に託す夢とロマン!大気の変身) | Hiroki Shibata | Kazuhiko Kanbe | Kenichi Tajiri | Shigetaka Kiyoyama | June 15, 1996 |
| 178 | "Luna's Discovery: The Real Face of Yaten" "Luna wa mita!? Aidoru Yaten no sugao" (ルナは見た!?アイドル夜天の素顔) | Harume Kosaka | Ryōta Yamaguchi | Kenichi Tajiri | Yoshihiro Kitano | June 22, 1996 |
| 179 | "Friend or Foe? Star Lights and the Sailor Guardians" "Teki? Mikata? Sutāraitsu to Sērā Senshi" (敵?味方?スターライツとS戦士) | Yuji Endo | Genki Yoshimura | Kenichi Tajiri | Minako Itō | June 29, 1996 |
| 180 | "Calling of the Shining Stars: Enter Haruka and Michiru" "Yobiau hoshi no kagayaki! Haruka-tachi sansen" (呼び合う星の輝き!はるか達参戦) | Takuya Igarashi | Atsushi Maekawa | Kazuyuki Hashimoto | Katsumi Tamegai | July 13, 1996 |
| 181 | "Seiya and Usagi's Heart-Pounding Date" "Seiya to Usagi no doki-doki dēto" (セイヤとうさぎのドキドキデート) | Junichi Sato | Kazuhiko Kanbe | Kenichi Tajiri | Miho Shimogasa | July 20, 1996 |
