# 3D Point Groups (Schoenflies) and Rotation Orders

| Point group | Common example object | Rotation axes present | Order of rotational symmetry (group order) |
|---|---|---|---|
| C1 | generic asymmetric solid | none | 1 |
| Ci | centrosymmetric object | inversion only | 2 |
| C2 | rectangular prism (rotations only) | one C2 axis | 2 |
| C3 | trigonal pyramid (rotations only) | one C3 axis | 3 |
| D2 | brick with 3 perpendicular C2 axes | 3×C2 | 4 |
| D3 | triangular prism (rotations only) | C3 + 3×C2 | 6 |
| T | regular tetrahedron (rotations) | 4×C3 + 3×C2 | 12 |
| O | cube/octahedron (rotations) | 3×C4 + 4×C3 + 6×C2 | 24 |
| I | dodecahedron/icosahedron (rotations) | 6×C5 + 10×C3 + 15×C2 | 60 |
